#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B3CBB6
#Date Time: 2026-07-17 00:02:59.400
#Start: 500 Hz
#Stop: 100000 Hz
#Steps: 100
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.49996 V
#Offset: -5.00031 V
#Relative: no
#Channel: Channel 2
#Range: 5.53101 V
#Offset: -4.99998 V
#Relative: yes


Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
500.0000000000005,-20.05979160861522,7.681742731908628,132.3453237488801
527.4881790208877,-19.51664692537727,7.398385706238542,135.9521332143744
556.4875580135443,-18.66348959786044,6.935659744901991,135.7252361588003
587.0812172486903,-18.43077299935326,7.098272041489024,139.1555254015082
619.3568044477557,-17.73276194010835,6.888393163984525,137.3307583101142
653.406785884685,-17.28263556901861,6.806763515248532,139.6158517718825
689.3287112924065,-16.86790196935488,6.744967644389341,142.5006544358831
727.2254933328937,-16.17179350308045,6.55195856770119,140.6475054273575
767.2057024314698,-15.95294093227267,6.652305807661226,145.9156547236034
809.3838778200335,-15.58557485988042,6.785014578738652,145.6042896130453
853.8808556803085,-15.14144318920004,6.839692624868078,145.7627511404294
900.8241153272068,-14.75875364662418,6.949854200897199,146.4794195483492
950.3481444241002,-14.26739147895317,6.918639084591177,146.7592870167205
1002.594824276296,-14.07575840369806,7.321574159208329,146.551711006415
1057.713836306541,-13.6092638556382,7.35382418417069,145.8710583657761
1115.863090877068,-13.51771804337897,7.944207112768421,144.9722767758697
1177.209179686728,-13.16558107222822,8.143896404813184,144.5969699972149
1241.92785303925,-12.75334777638825,8.328058460658571,142.9805727875699
1310.20452334999,-12.32794991444986,8.576654508725088,140.3540389476963
1382.234796333631,-11.90718288674082,9.014007893342276,134.9392084714298
1458.225031394669,-11.46934635434338,9.292151656734868,131.9750261108798
1538.392932826102,-10.41402011817285,9.087182584769865,125.557950500768
1622.968173510086,-9.74239085224389,9.423595495724474,119.1651405961804
1712.193052907382,-8.272184816491137,9.018843495754499,111.6433521503113
1806.323191220659,-6.665883017366438,8.523277530246153,105.1634440503891
1905.628261720369,-4.898404217020873,7.942640932880376,99.38972058440024
2010.392763331233,-2.633485138318518,6.905205412871624,94.46125922591
2120.916835692723,-0.6865874817819069,6.24607648328722,90.14052175615797
2237.517119028597,1.450194885524674,5.331016775557958,86.22538810783871
2360.527661288914,2.919287031649998,4.374349817422226,84.18582926321631
2490.300875163447,3.875826029712445,3.509683659321982,81.82335325500094
2627.20854770818,3.9651239570446,2.526781291219289,80.65244304305402
2771.642905477397,3.702108209452483,1.704227508370273,79.59389074501499
2924.017738212867,3.294870701073411,0.8968631381819006,78.47481478491208
3084.76958430936,2.80699611413782,0.1149396567643467,77.97652501681733
3254.358981452731,2.307044338033935,-0.6910397961417101,77.94644356164838
3433.271786013541,1.879962346221009,-1.401183151233333,78.39725730161032
3622.020564976146,1.525636099740187,-2.143674337618901,78.36425358621561
3821.14606439095,1.246649476196402,-2.794335417700932,78.51376428712473
4031.218758556826,0.9999474626946164,-3.465053868374973,78.68537324919262
4252.840484371965,0.7735656038657568,-4.072264806803148,79.36365471692665
4486.646165535356,0.6013708435189992,-4.715251440459459,79.26890322572089
4733.305631538587,0.4703496122888589,-5.219307655329079,79.64009563105792
4993.525536659204,0.3195522569968601,-5.900679493335021,79.80225522114284
5268.051384453324,0.2155021608221869,-6.387710960765542,80.13377100245997
5557.669663547502,0.1045900735248062,-7.001382991015836,81.18159755854396
5863.210100848602,0.02691079417976014,-7.530030689590653,81.81777425192783
6185.548038627006,-0.04215052107813116,-8.048944572646908,81.37018529243178
6525.606942283164,-0.1072972416111585,-8.644435771848249,82.12673669007751
6884.361045982021,-0.1690291534565891,-9.133545277816831,82.51822494395473
7262.838143734777,-0.221211958121838,-9.642834752460335,82.9124087465443
7662.122533924203,-0.2501663713688069,-10.10993738933867,82.99232333225996
8083.358125709173,-0.3032230766779213,-10.56484119534862,83.38625710176467
8527.751716208051,-0.3374063215248285,-11.0083390674952,83.91654869991386
8996.576447849668,-0.3515788226664808,-11.54188667355369,83.97867279632158
9491.175455796858,-0.3836463013025383,-11.92644284450521,84.44873841030548
10012.96571589205,-0.4189758601199987,-12.44960092360936,84.44141165338897
10563.44210414895,-0.4313162832371905,-12.86322990617955,84.43649081074493
11144.18167942021,-0.458487454032768,-13.27822548549076,84.57425514526399
11756.8482015106,-0.4613452292081657,-13.67664766101473,84.6411809448587
12403.19689767966,-0.477264574390191,-14.19099342845157,84.64902915581047
13085.07949118912,-0.4907852156220551,-14.63976942111246,84.43096861723403
13804.44950630183,-0.4923875714066133,-15.01521263630137,85.19290149075012
14563.36786492988,-0.5172610377695369,-15.37168914261203,85.07659644764487
15364.00879096636,-0.5376649922052721,-15.779252024551,84.32764949706453
16208.6660392155,-0.5385897360614111,-16.19744961330923,84.55707659268734
17099.75946676697,-0.5441538855294266,-16.49681175907793,84.25880636596611
18039.8419656402,-0.5520290566633791,-16.81693814736636,84.63920880146254
19031.60677656027,-0.5556360445501919,-17.38914455082745,84.0932655993099
20077.89520481873,-0.5768837338035774,-17.49160350077774,82.83364130578823
21181.70476032408,-0.5847817370603552,-18.02531024743122,82.72818309123249
22346.19774516282,-0.6170388308294041,-18.17584270549941,82.92584217830336
23574.71031327321,-0.6015689258005124,-18.41784014153268,82.55466527505881
24870.76202818685,-0.638991451495886,-18.46928332842688,79.88041089754768
26238.06594622023,-0.6183464278199947,-19.18243348149437,78.93412561290425
27680.53925400335,-0.6176432471492763,-19.36135245186288,78.38064479191277
29202.31449082084,-0.6258666725203235,-19.47857900009267,76.90055238952621
30807.75138791674,-0.6459075492568024,-19.93722591450661,75.89318105520316
32501.44935868083,-0.6435223382761963,-20.1213265375287,73.48419085908722
34288.26067550031,-0.6542300454092529,-20.27319872315508,72.10524981079845
36173.30437102633,-0.6698050487053089,-20.74872865681825,67.24076887650352
38161.98090368199,-0.6697750054370639,-20.44063557875545,76.51781218946742
40259.9876294262,-0.6821025748459142,-21.31139697412702,64.00383018903254
42473.33512409896,-0.6538671781607621,-21.55848753854897,60.37794097413524
44808.36440310974,-0.642972761147041,-21.97277821877677,60.48288428667068
47271.76508780142,-0.6573432018508942,-22.35865271122011,56.9377010241418
49870.59457053511,-0.6814830383498749,-22.49253218869338,57.38210681635297
52612.29823340104,-0.6730463017363695,-23.46650509163003,52.24635675138598
55504.73077848113,-0.6377099362595308,-23.90724054471077,49.703727294498
58556.17873077128,-0.6398534729169105,-24.26578232731291,49.77773242894757
61775.38417823233,-0.6451841528973981,-24.16695030723628,53.82161162067558
65171.56981698306,-0.6064669812381767,-15.9327480179838,-167.1941402614484
68754.46537338606,-0.3485813105584366,-11.32055440173531,-128.0020526191831
72534.33547872418,-1.019450694201019,-8.669323046738695,63.34309372153128
76522.00907632476,-0.9815851611814391,-9.177344120101672,77.30153875114071
80728.91044538074,-0.8848775836326679,-13.49758808422473,100.238394571295
85167.09193034843,-0.5591567155310608,-30.6810766280038,-172.8671113963185
89849.26846968802,-0.545347602086351,-29.01471046371841,-18.94890388685221
94788.8540228692,-0.5181894050629364,-29.05622168511443,-5.858673368932045
100000,-0.586023483770857,-30.00946833766632,-21.03998102696707
